"","Genotype","APA2","TrainSessionComboNum","conflict","m","se","len","measure"
"1","WT","yoked-consistent",1,"consistent",0.285,0.153541525327841,4,"Path to the 1st Entrance"
"2","WT","yoked-consistent",2,"consistent",0.4475,0.215614432108181,4,"Path to the 1st Entrance"
"3","WT","yoked-consistent",3,"consistent",0.9,0.714294523755199,4,"Path to the 1st Entrance"
"4","WT","yoked-consistent",4,"consistent",0.8325,0.205603785633112,4,"Path to the 1st Entrance"
"5","WT","yoked-consistent",5,"consistent",0.4175,0.233929298435802,4,"Path to the 1st Entrance"
"6","WT","yoked-consistent",6,"consistent",1.17,0.743852583961813,4,"Path to the 1st Entrance"
"7","WT","yoked-consistent",7,"consistent",1.075,0.753176606115724,4,"Path to the 1st Entrance"
"8","WT","yoked-consistent",8,"consistent",0.5575,0.415378843146029,4,"Path to the 1st Entrance"
"9","WT","yoked-consistent",9,"consistent",0.285,0.0119023807142381,4,"Path to the 1st Entrance"
"10","WT","consistent",1,"consistent",0.3875,0.0890375121588006,8,"Path to the 1st Entrance"
"11","WT","consistent",2,"consistent",0.16125,0.0561705788520238,8,"Path to the 1st Entrance"
"12","WT","consistent",3,"consistent",1.63875,1.33761973763099,8,"Path to the 1st Entrance"
"13","WT","consistent",4,"consistent",2.1825,1.26909944167395,8,"Path to the 1st Entrance"
"14","WT","consistent",5,"consistent",2.345,0.922231377847075,8,"Path to the 1st Entrance"
"15","WT","consistent",6,"consistent",2.36875,1.61388001578715,8,"Path to the 1st Entrance"
"16","WT","consistent",7,"consistent",5.3625,1.91271193970386,8,"Path to the 1st Entrance"
"17","WT","consistent",8,"consistent",7.36375,1.96564778262972,8,"Path to the 1st Entrance"
"18","WT","consistent",9,"consistent",5.485,1.33409948226188,8,"Path to the 1st Entrance"
"19","WT","yoked-conflict",1,"conflict",0.706666666666667,0.281503897742899,3,"Path to the 1st Entrance"
"20","WT","yoked-conflict",2,"conflict",0.483333333333333,0.167066187815222,3,"Path to the 1st Entrance"
"21","WT","yoked-conflict",3,"conflict",0.35,0.098657657246325,3,"Path to the 1st Entrance"
"22","WT","yoked-conflict",4,"conflict",1.33,1.2059988944163,3,"Path to the 1st Entrance"
"23","WT","yoked-conflict",5,"conflict",1.31333333333333,1.04141463617737,3,"Path to the 1st Entrance"
"24","WT","yoked-conflict",6,"conflict",0.06,0.0346410161513775,3,"Path to the 1st Entrance"
"25","WT","yoked-conflict",7,"conflict",0,0,2,"Path to the 1st Entrance"
"26","WT","yoked-conflict",8,"conflict",0.186666666666667,0.186666666666667,3,"Path to the 1st Entrance"
"27","WT","yoked-conflict",9,"conflict",0.31,0.23895606290697,3,"Path to the 1st Entrance"
"28","WT","conflict",1,"conflict",0.48,0.167190842386112,9,"Path to the 1st Entrance"
"29","WT","conflict",2,"conflict",0.516666666666667,0.137264950612553,9,"Path to the 1st Entrance"
"30","WT","conflict",3,"conflict",1.86111111111111,0.984587398700091,9,"Path to the 1st Entrance"
"31","WT","conflict",4,"conflict",0.91,0.164578586429435,9,"Path to the 1st Entrance"
"32","WT","conflict",5,"conflict",4.08,1.31710119412122,9,"Path to the 1st Entrance"
"33","WT","conflict",6,"conflict",0.455555555555556,0.261895394252866,9,"Path to the 1st Entrance"
"34","WT","conflict",7,"conflict",1.46222222222222,0.636190436587142,9,"Path to the 1st Entrance"
"35","WT","conflict",8,"conflict",5.28,1.96892031891141,9,"Path to the 1st Entrance"
"36","WT","conflict",9,"conflict",3.27,1.36496133441371,9,"Path to the 1st Entrance"
"37","FMR1KO","yoked-consistent",1,"consistent",0.3025,0.153968340901628,4,"Path to the 1st Entrance"
"38","FMR1KO","yoked-consistent",2,"consistent",0.606666666666667,0.144260566722549,3,"Path to the 1st Entrance"
"39","FMR1KO","yoked-consistent",3,"consistent",5.724,2.62981101982633,5,"Path to the 1st Entrance"
"40","FMR1KO","yoked-consistent",4,"consistent",1.15666666666667,0.491675141169903,3,"Path to the 1st Entrance"
"41","FMR1KO","yoked-consistent",5,"consistent",12.0233333333333,5.28970803647149,3,"Path to the 1st Entrance"
"42","FMR1KO","yoked-consistent",6,"consistent",7.05,3.84258636858041,5,"Path to the 1st Entrance"
"43","FMR1KO","yoked-consistent",7,"consistent",5.646,3.35473784370702,5,"Path to the 1st Entrance"
"44","FMR1KO","yoked-consistent",8,"consistent",5.834,3.26901147137785,5,"Path to the 1st Entrance"
"45","FMR1KO","yoked-consistent",9,"consistent",1.02857142857143,0.649950285906284,7,"Path to the 1st Entrance"
"46","FMR1KO","consistent",1,"consistent",0.208571428571429,0.123431657809736,7,"Path to the 1st Entrance"
"47","FMR1KO","consistent",2,"consistent",0.872857142857143,0.515441162342255,7,"Path to the 1st Entrance"
"48","FMR1KO","consistent",3,"consistent",0.412857142857143,0.0843946027870967,7,"Path to the 1st Entrance"
"49","FMR1KO","consistent",4,"consistent",3.42428571428571,1.85984876131528,7,"Path to the 1st Entrance"
"50","FMR1KO","consistent",5,"consistent",3.978,1.49152070049329,5,"Path to the 1st Entrance"
"51","FMR1KO","consistent",6,"consistent",0.871428571428571,0.368803913388419,7,"Path to the 1st Entrance"
"52","FMR1KO","consistent",7,"consistent",2.34,1.20686370398649,6,"Path to the 1st Entrance"
"53","FMR1KO","consistent",8,"consistent",3.66333333333333,2.3448591523681,6,"Path to the 1st Entrance"
"54","FMR1KO","consistent",9,"consistent",4.21444444444444,1.28919668259725,9,"Path to the 1st Entrance"
"55","FMR1KO","yoked-conflict",1,"conflict",0.6925,0.386638828020846,4,"Path to the 1st Entrance"
"56","FMR1KO","yoked-conflict",2,"conflict",3.9775,3.42158436741421,4,"Path to the 1st Entrance"
"57","FMR1KO","yoked-conflict",3,"conflict",4.615,3.86631930911041,4,"Path to the 1st Entrance"
"58","FMR1KO","yoked-conflict",4,"conflict",4.005,3.53565293357064,4,"Path to the 1st Entrance"
"59","FMR1KO","yoked-conflict",5,"conflict",4.99333333333333,4.1933929513515,3,"Path to the 1st Entrance"
"60","FMR1KO","yoked-conflict",6,"conflict",4.9025,4.53608012679083,4,"Path to the 1st Entrance"
"61","FMR1KO","yoked-conflict",7,"conflict",3.355,3.15539088967859,4,"Path to the 1st Entrance"
"62","FMR1KO","yoked-conflict",8,"conflict",4.89,4.85504205268434,3,"Path to the 1st Entrance"
"63","FMR1KO","yoked-conflict",9,"conflict",0.464,0.188430358488222,5,"Path to the 1st Entrance"
"64","FMR1KO","conflict",1,"conflict",0.525,0.290645832586672,4,"Path to the 1st Entrance"
"65","FMR1KO","conflict",2,"conflict",0.545,0.124398553046247,4,"Path to the 1st Entrance"
"66","FMR1KO","conflict",3,"conflict",0.2775,0.14653640048352,4,"Path to the 1st Entrance"
"67","FMR1KO","conflict",4,"conflict",0.76,0.408472765310002,4,"Path to the 1st Entrance"
"68","FMR1KO","conflict",5,"conflict",2.24333333333333,0.828036499463909,3,"Path to the 1st Entrance"
"69","FMR1KO","conflict",6,"conflict",0.4,0.278567765543682,4,"Path to the 1st Entrance"
"70","FMR1KO","conflict",7,"conflict",1.0125,1.0125,4,"Path to the 1st Entrance"
"71","FMR1KO","conflict",8,"conflict",0.9075,0.521749860245948,4,"Path to the 1st Entrance"
"72","FMR1KO","conflict",9,"conflict",3.754,0.882063489778372,5,"Path to the 1st Entrance"
"73","WT","yoked-consistent",1,"consistent",29.25,1.93110503770941,4,"Number of Entrances"
"74","WT","yoked-consistent",2,"consistent",13.5,2.39791576165636,4,"Number of Entrances"
"75","WT","yoked-consistent",3,"consistent",12.75,3.9024564913227,4,"Number of Entrances"
"76","WT","yoked-consistent",4,"consistent",14.5,1.93649167310371,4,"Number of Entrances"
"77","WT","yoked-consistent",5,"consistent",15.25,2.32289331079439,4,"Number of Entrances"
"78","WT","yoked-consistent",6,"consistent",13.75,2.25,4,"Number of Entrances"
"79","WT","yoked-consistent",7,"consistent",17,2.34520787991171,4,"Number of Entrances"
"80","WT","yoked-consistent",8,"consistent",16.25,3.42478709800575,4,"Number of Entrances"
"81","WT","yoked-consistent",9,"consistent",21.5,1.25830573921179,4,"Number of Entrances"
"82","WT","consistent",1,"consistent",28.125,1.60843202263216,8,"Number of Entrances"
"83","WT","consistent",2,"consistent",10.625,1.06800046816469,8,"Number of Entrances"
"84","WT","consistent",3,"consistent",9.25,1.71911522093696,8,"Number of Entrances"
"85","WT","consistent",4,"consistent",4.75,0.881354477089505,8,"Number of Entrances"
"86","WT","consistent",5,"consistent",6.75,1.93418495200729,8,"Number of Entrances"
"87","WT","consistent",6,"consistent",4.75,1.80029759444694,8,"Number of Entrances"
"88","WT","consistent",7,"consistent",4.5,1.99105140925234,8,"Number of Entrances"
"89","WT","consistent",8,"consistent",2.75,1.42365224485677,8,"Number of Entrances"
"90","WT","consistent",9,"consistent",8.625,2.41230106507696,8,"Number of Entrances"
"91","WT","yoked-conflict",1,"conflict",27.6666666666667,6.9602043392737,3,"Number of Entrances"
"92","WT","yoked-conflict",2,"conflict",14,4,3,"Number of Entrances"
"93","WT","yoked-conflict",3,"conflict",14.3333333333333,2.33333333333333,3,"Number of Entrances"
"94","WT","yoked-conflict",4,"conflict",15,2.88675134594813,3,"Number of Entrances"
"95","WT","yoked-conflict",5,"conflict",11,3.78593889720018,3,"Number of Entrances"
"96","WT","yoked-conflict",6,"conflict",19,2.64575131106459,3,"Number of Entrances"
"97","WT","yoked-conflict",7,"conflict",16,5,2,"Number of Entrances"
"98","WT","yoked-conflict",8,"conflict",16.3333333333333,1.66666666666667,3,"Number of Entrances"
"99","WT","yoked-conflict",9,"conflict",20.3333333333333,1.45296631451356,3,"Number of Entrances"
"100","WT","conflict",1,"conflict",29.8888888888889,1.3275336828165,9,"Number of Entrances"
"101","WT","conflict",2,"conflict",8.11111111111111,1.05993244601883,9,"Number of Entrances"
"102","WT","conflict",3,"conflict",6.55555555555556,1.74093773511027,9,"Number of Entrances"
"103","WT","conflict",4,"conflict",4.44444444444444,1.02890328763623,9,"Number of Entrances"
"104","WT","conflict",5,"conflict",4.22222222222222,1.12765461834358,9,"Number of Entrances"
"105","WT","conflict",6,"conflict",13.4444444444444,2.19918615698772,9,"Number of Entrances"
"106","WT","conflict",7,"conflict",6.11111111111111,1.67866054774868,9,"Number of Entrances"
"107","WT","conflict",8,"conflict",2.88888888888889,0.934589102292262,9,"Number of Entrances"
"108","WT","conflict",9,"conflict",10,2.72845092395748,9,"Number of Entrances"
"109","FMR1KO","yoked-consistent",1,"consistent",30.25,1.75,4,"Number of Entrances"
"110","FMR1KO","yoked-consistent",2,"consistent",8.66666666666667,1.20185042515466,3,"Number of Entrances"
"111","FMR1KO","yoked-consistent",3,"consistent",13.4,1.16619037896906,5,"Number of Entrances"
"112","FMR1KO","yoked-consistent",4,"consistent",18,2.08166599946613,3,"Number of Entrances"
"113","FMR1KO","yoked-consistent",5,"consistent",16.3333333333333,3.84418753155693,3,"Number of Entrances"
"114","FMR1KO","yoked-consistent",6,"consistent",15.8,1.31909059582729,5,"Number of Entrances"
"115","FMR1KO","yoked-consistent",7,"consistent",16.8,1.90787840283389,5,"Number of Entrances"
"116","FMR1KO","yoked-consistent",8,"consistent",13,2.42899156029822,5,"Number of Entrances"
"117","FMR1KO","yoked-consistent",9,"consistent",22.7142857142857,2.7577966162991,7,"Number of Entrances"
"118","FMR1KO","consistent",1,"consistent",31.4285714285714,1.83688585923675,7,"Number of Entrances"
"119","FMR1KO","consistent",2,"consistent",9.57142857142857,1.17224129762773,7,"Number of Entrances"
"120","FMR1KO","consistent",3,"consistent",6.85714285714286,1.183790751872,7,"Number of Entrances"
"121","FMR1KO","consistent",4,"consistent",6.14285714285714,1.80513251628808,7,"Number of Entrances"
"122","FMR1KO","consistent",5,"consistent",5.2,1.95959179422654,5,"Number of Entrances"
"123","FMR1KO","consistent",6,"consistent",6.28571428571429,1.0626625525915,7,"Number of Entrances"
"124","FMR1KO","consistent",7,"consistent",7,2.78088714861523,6,"Number of Entrances"
"125","FMR1KO","consistent",8,"consistent",4.5,1.802775637732,6,"Number of Entrances"
"126","FMR1KO","consistent",9,"consistent",9.77777777777778,1.87659397267273,9,"Number of Entrances"
"127","FMR1KO","yoked-conflict",1,"conflict",22.5,2.59807621135332,4,"Number of Entrances"
"128","FMR1KO","yoked-conflict",2,"conflict",14.5,1.5545631755148,4,"Number of Entrances"
"129","FMR1KO","yoked-conflict",3,"conflict",13.5,1.25830573921179,4,"Number of Entrances"
"130","FMR1KO","yoked-conflict",4,"conflict",17.25,1.88745860881769,4,"Number of Entrances"
"131","FMR1KO","yoked-conflict",5,"conflict",19.3333333333333,4.80740170061865,3,"Number of Entrances"
"132","FMR1KO","yoked-conflict",6,"conflict",19,2.94392028877595,4,"Number of Entrances"
"133","FMR1KO","yoked-conflict",7,"conflict",14.5,2.17944947177034,4,"Number of Entrances"
"134","FMR1KO","yoked-conflict",8,"conflict",15,1,3,"Number of Entrances"
"135","FMR1KO","yoked-conflict",9,"conflict",17.6,2.06397674405503,5,"Number of Entrances"
"136","FMR1KO","conflict",1,"conflict",26,1.82574185835055,4,"Number of Entrances"
"137","FMR1KO","conflict",2,"conflict",10.25,1.25,4,"Number of Entrances"
"138","FMR1KO","conflict",3,"conflict",5.25,0.853912563829966,4,"Number of Entrances"
"139","FMR1KO","conflict",4,"conflict",7.75,2.59406373604556,4,"Number of Entrances"
"140","FMR1KO","conflict",5,"conflict",7.33333333333333,5.84047182264508,3,"Number of Entrances"
"141","FMR1KO","conflict",6,"conflict",10.5,3.66287682930599,4,"Number of Entrances"
"142","FMR1KO","conflict",7,"conflict",8.25,3.56779577143461,4,"Number of Entrances"
"143","FMR1KO","conflict",8,"conflict",6.5,2.3629078131263,4,"Number of Entrances"
"144","FMR1KO","conflict",9,"conflict",7.8,1.31909059582729,5,"Number of Entrances"
