Mouse,Slice,atlaslocation,notes,sliceforRNAseq
16-116A,1,77,,3
16-116A,2,76,,3
16-116A,3,74,,3
16-116A,4,72,,3
16-116B,1,76,,2
16-116B,2,74,,2
16-116B,3,70,,2
16-116B,4,67,,2
16-116C,1,79,,3
16-116C,2,77,,3
16-116C,3,74,,3
16-116C,4,71,,3
16-116D,1,79,,3
16-116D,2,77,,3
16-116D,3,74,"has two CA1 punches, one on cell layer and 1 above",3
16-116D,4,71,,3
16-117A,1,NA,,2
16-117A,2,74,,2
16-117A,3,71,,2
16-117A,4,76,"has two CA1 punches, both on cell layer",2
16-117B,1,NA,,NA
16-117B,2,NA,,NA
16-117B,3,NA,,NA
16-117B,4,NA,,NA
16-117C,1,76,,2
16-117C,2,74,,2
16-117C,3,72,,2
16-117C,4,78,,2
16-117D,1,72,,2
16-117D,2,74,,2
16-117D,3,76,,2
16-117D,4,78,,2
16-118A,1,79,,3
16-118A,2,72,,3
16-118A,3,76,,3
16-118A,4,78,,3
16-118B,1,74,,1
16-118B,2,72,,1
16-118B,3,70,,1
16-118B,4,78,,1
16-118C,1,76,,4
16-118C,2,72,,4
16-118C,3,70,,4
16-118C,4,74,,4
16-118D,1,78,,3
16-118D,2,72,,3
16-118D,3,74,,3
16-118D,4,76,,3
16-119A,1,74,,1
16-119A,2,70,,1
16-119A,3,78,,1
16-119A,4,72,,1
16-119B,1,NA,"only three photos, guessing that slice 3 is either 76 or 74",3
16-119B,2,NA,"only three photos, guessing that slice 3 is either 76 or 74",3
16-119B,3,NA,"only three photos, guessing that slice 3 is either 76 or 74",3
16-119B,4,NA,"only three photos, guessing that slice 3 is either 76 or 74",3
16-119B,23,NA,"only three photos, guessing that slice 3 is either 76 or 74",3
16-119C,1,76,,3
16-119C,2,78,,3
16-119C,3,74,,3
16-119C,4,72,,3
16-119D,1,70,,3
16-119D,2,78,,3
16-119D,3,74,,3
16-120A,1,74,,1
16-120A,2,76,,1
16-120A,3,78,,1
16-120A,4,70,,1
16-120A,34,NA,,1
16-120B,1,76,,2
16-120B,2,74,,2
16-120B,3,72,,2
16-120B,4,70,,2
16-120C,1,76,,2
16-120C,2,74,,2
16-120C,3,72,,2
16-120C,4,70,,2
16-120D,1,68,,3
16-120D,2,80,,3
16-120D,3,74,,3
16-120D,4,72,,3
16-120D,5,78,,3
16-122A,1,,,
16-122A,2,,,
16-122A,3,,,
16-122A,4,,,
16-122B,1,72,,3
16-122B,2,76,,3
16-122B,3,74,,3
16-122B,4,78,,3
16-122C,1,,,
16-122C,2,,,
16-122C,3,,,
16-122C,4,,,
16-122D,1,76,,2
16-122D,2,74,,2
16-122D,3,72,,2
16-123A,1,,,
16-123A,2,,,
16-123A,3,,,
16-123A,4,,,
16-123B,1,78,,2
16-123B,2,74,,2
16-123B,3,72,,2
16-123B,4,70,,2
16-123C,1,,,
16-123C,2,,,
16-123C,3,,,
16-123C,4,,,
16-123D,1,74,,1
16-123D,2,76,,1
16-123D,3,72,,1
16-123D,4,78,,1
16-124A,1,,,
16-124A,2,,,
16-124A,3,,,
16-124A,4,,,
16-124B,1,76,,3
16-124B,2,78,,3
16-124B,3,74,,3
16-124B,4,70,,3
16-124C,1,,,
16-124C,2,,,
16-124C,3,,,
16-124C,4,,,
16-124C,5,,,
16-124C,12,,,
16-124D,1,74,,1
16-124D,2,78,,1
16-124D,3,72,,1
16-124D,4,76,,1
16-125A,1,,,
16-125A,2,,,
16-125A,3,,,
16-125A,4,,,
16-125A,5,,,
16-125B,1,78,,2
16-125B,2,74,,2
16-125B,3,76,,2
16-125B,4,70,,2
16-125B,?,NA,,2
16-125C,1,,,
16-125C,2,,,
16-125C,3,,,
16-125D,1,76,,2
16-125D,2,74,,2
16-125D,3,78,,2
16-125D,4,72,,2
16-126A,1,,,
16-126A,2,,,
16-126A,3,,,
16-126A,4,,,
16-126B,1,78,,3
16-126B,2,76,,3
16-126B,3,74,,3
16-126B,4,72,,3