"ID","Genotype","APA2","TrainSession","SdevSpeedArena","Linearity.Arena.","NumEntrances","Time1stEntr","Path1stEntr","Speed1stEntr.cm.s.","Dist1stEntr.m.","NumShock","MaxTimeAvoid","Time2ndEntr","Path2ndEntr","Speed2ndEntr","TimeTarget","pTimeTarget","pTimeCCW","pTimeOPP","pTimeCW","RayleigLength","RayleigAngle","PolarAvgVal","PolarSdVal","PolarMinVal","PolarMinBin","Min50.RngLoBin","Min50.RngHiBin","PolarMaxVal","PolarMaxBin","Max50.RngLoBin","Max50.RngHiBin","AnnularMinVal","AnnularMinBin","AnnularMaxVal","AnnularMaxBin","AnnularAvg","AnnularSd","AnnularSkewnes","AnnularKurtosis","Speed1","Speed2"
"16-122A","FMR1KO","consistent","Retention",1.63,0.2775,17,72.83,1.23,9.98,1.48,54,72,88.3,1.71,7.7,100.634,0.2511,0.1617,0.3006,0.2866,0.12,245.16,190.84,108.94,0.0125,90,340,200,0.0469,240,140,300,0.0067,15.8,0.2672,9.7,10.5,19.01,0.66,3.26,0.0168886447892352,0.019365798414496
"16-122A","FMR1KO","consistent","Retention",1.85,0.3923,6,291.2,5.32,2.57,0.45,18,291,385.83,7.89,7.41,37.101,0.0965,0.286,0.5168,0.1007,0.55,150.85,223.37,67.32,0.0041,330,170,110,0.0864,150,100,190,0.0357,15.8,0.2493,13.1,11.47,21.51,1.1,3.8,0.0182692307692308,0.0204494207293368
"16-123A","FMR1KO","consistent","Retention",2.82,0.4365,14,21.27,0.49,0.92,0.78,24,110,25.27,0.6,6.36,41.301,0.1026,0.3385,0.2388,0.3201,0.17,203.81,196.6,107.34,0.0043,10,230,90,0.0497,90,60,230,0.0163,3.1,0.3579,14.5,13.08,15.63,1.83,7.58,0.0230371415138693,0.0237435694499406
"16-124A","FMR1KO","consistent","Retention",2.31,0.3714,4,289.83,6.45,7.89,0.27,6,289,461.33,10.99,6.99,10.7,0.0266,0.3658,0.5405,0.0671,0.65,146.65,232.23,54.68,5e-04,300,170,120,0.0837,160,110,190,0.0044,7.5,0.4391,15.8,14.77,8.31,2.26,11.45,0.0222544250077632,0.023822426462619
"16-124B","FMR1KO","consistent","Retention",2.77,0.4735,18,126.2,3.39,4.06,0.98,35,126,133.17,3.58,10.82,61.406,0.1862,0.349,0.3255,0.1393,0.24,130.3,190.93,89.72,0.0085,340,200,90,0.0539,140,60,200,0.0038,16.9,0.3695,14.5,13.75,19.16,2.35,9.25,0.0268621236133122,0.0268829315911992
"16-125A","FMR1KO","consistent","Retention",2.27,0.3357,6,238.63,5.72,5.33,0.4,14,238,300.2,7.19,9.1,27.632,0.0691,0.3451,0.4075,0.1783,0.42,154.97,226,74.74,5e-04,330,190,100,0.0591,160,90,210,0.0388,3.1,0.3553,14.5,12.7,20.86,1.36,4.34,0.0239701630138708,0.0239506995336442
"16-126A","FMR1KO","consistent","Retention",2.03,0.3057,12,3.33,0.15,14,0.77,39,191,66.73,1.26,3,73.571,0.1804,0.2965,0.2381,0.285,0.1,172.41,194.35,102.39,0.0166,30,280,140,0.0395,210,120,300,0.0126,3.1,0.231,11.5,12.88,16.8,0.98,4.93,0.045045045045045,0.018882062041061
"16-126A","FMR1KO","consistent","Retention",2.1,0.3302,8,110.43,2.67,1.56,0.51,16,215,325.47,8.17,4.56,28.432,0.0713,0.482,0.3401,0.1066,0.44,129.51,215.33,70.94,0.0037,300,150,70,0.0592,110,50,160,0.0275,3.1,0.3222,13.1,12.32,16.7,1.45,5.98,0.0241782124422711,0.0251021599532983
"16-357C","FMR1KO","consistent","Retention",2.58,0.3612,3,460.17,12.51,4.45,0.18,4,460,496.17,13.67,4.94,7,0.0176,0.1208,0.6955,0.1661,0.65,181.46,247.92,59.83,9e-04,0,200,150,0.0993,170,130,210,0.0069,3.1,0.5425,15.8,14.73,11.9,3.05,15.52,0.0271856053197731,0.0275510409738598
"16-122B","FMR1KO","yoked-consistent","Retention",1.89,0.3012,20,37.17,0.39,0.68,1.52,74,60,97.9,0.8,1.14,147.395,0.3426,0.1817,0.1943,0.2815,0.19,325.13,157.93,105.65,0.013,140,40,280,0.0515,340,270,60,0.0303,15.8,0.2049,13.1,10.19,25.37,0.38,1.86,0.0104923325262308,0.00817160367722165
"16-122B","FMR1KO","yoked-consistent","Retention",2.59,0.3939,27,13.77,0.34,12.67,1.39,65,43,49.03,1.18,1.41,123.666,0.321,0.2205,0.1789,0.2796,0.17,352.42,158.77,101.18,0.011,220,50,290,0.0538,30,280,70,0.0443,7.5,0.2649,14.5,12.51,21.12,1.82,6.46,0.0246913580246914,0.0240668978176627
"16-123B","FMR1KO","yoked-consistent","Retention",2.69,0.4124,33,12.4,0.24,4.63,1.84,105,45,30.43,0.65,9.44,209.2,0.5258,0.1579,0.0847,0.2316,0.41,353.92,135.71,86.14,0.0069,200,40,330,0.0705,340,310,50,8e-04,16.9,0.3324,14.5,12.78,19.53,1.53,5.25,0.0193548387096774,0.0213604995070654
"16-126B","FMR1KO","yoked-consistent","Retention",3.05,0.4289,18,16.43,0.75,10.33,0.85,45,92,44.9,1.88,5.9,86.768,0.2124,0.2398,0.2571,0.2908,0.11,241.16,189.83,109.27,0.0161,160,320,190,0.0419,210,160,320,0.013,16.9,0.2476,14.5,12.72,23.29,1.45,4.62,0.0456482045039562,0.0418708240534521
"16-126B","FMR1KO","yoked-consistent","Retention",3.3,0.5402,22,1,0,-1,0.85,43,69,19.07,1.21,8.61,81.434,0.2135,0.2646,0.2834,0.2386,0.11,143.37,196.98,97.57,0.0117,330,200,50,0.0415,50,0,180,0.0604,15.8,0.3065,14.5,12.21,23.1,1.62,5.07,0,0.0634504457262716
"16-357A","FMR1KO","yoked-consistent","Retention",2.31,0.3613,11,190.3,4.89,6,0.65,24,190,203.83,5.51,1.71,46.502,0.1166,0.3614,0.3737,0.1482,0.34,139.48,209.01,81.48,0.0041,0,200,100,0.068,120,90,220,0.0548,15.8,0.3105,13.1,10.98,26.2,1.08,3.23,0.0256962690488702,0.0270323308639553
"16-357B","FMR1KO","yoked-consistent","Retention",3,0.4357,28,17.1,0.59,4.84,1.29,71,56,73.5,2.19,1.65,143.031,0.3412,0.3919,0.0992,0.1678,0.31,44.53,159.08,86.61,0.0081,190,110,10,0.056,30,0,130,0.011,15.8,0.3051,13.1,11.33,22.66,1.16,3.49,0.0345029239766082,0.0297959183673469
"16-122C","FMR1KO","conflict","Retention",2.04,0.2841,8,226.77,5.24,1.48,0.58,28,226,352.17,8.08,12.43,57.97,0.1448,0.328,0.3149,0.2124,0.2,132.07,183.51,94.92,0.0095,240,170,60,0.0483,110,60,200,0.0125,16.9,0.298,13.1,12.56,19.5,1.46,5.94,0.0231071129338096,0.0229434648039299
"16-122C","FMR1KO","conflict","Retention",1.96,0.3385,3,196.97,4.04,2.02,0.22,14,196,370.3,8.05,5.94,27.135,0.0493,0.1334,0.4191,0.3982,0.43,195.2,149.37,86.47,3e-04,310,240,170,0.0691,210,160,260,0.0152,16.9,0.2703,13.1,12.63,18.71,1.42,5.94,0.0205107376757882,0.0217391304347826
"16-124C","FMR1KO","conflict","Retention",2.07,0.2525,8,234.6,5.45,1.9,0.55,25,234,291.63,6.71,5.96,49.832,0.0924,0.1513,0.4226,0.3337,0.29,188.17,151.44,92.9,0.0103,330,250,150,0.0584,190,110,250,0.0291,9.7,0.362,15.8,13.77,19.19,2.35,8.45,0.023231031543052,0.023008606796283
"16-125C","FMR1KO","conflict","Retention",1.57,0.239,9,29.67,0.54,1.59,0.71,29,102,93.6,1.74,6.02,55.565,0.1072,0.2366,0.2937,0.3625,0.13,182.78,165.04,103.27,0.0127,340,250,110,0.046,120,40,220,0.0408,7.5,0.4788,14.5,12.94,21.51,1.78,5.59,0.0182002022244692,0.0185897435897436
"16-125D","FMR1KO","conflict","Retention",2.69,0.4485,11,158.93,3.5,5.77,0.61,21,158,228.23,5.73,4.51,41.701,0.0794,0.1388,0.1877,0.5941,0.37,254.09,173.97,83.1,0.0062,0,300,230,0.0786,240,210,310,8e-04,16.9,0.3233,15.8,13.44,22.94,2.16,7.44,0.022022273957088,0.025106252464619
"16-122D","FMR1KO","yoked-conflict","Retention",2.46,0.3711,14,31.5,0.7,1.83,0.77,24,151,79.13,1.94,13.15,45.3,0.1111,0.2943,0.2894,0.3052,0.22,184.22,209.09,98.13,0.0094,340,250,130,0.0547,250,120,270,0.0031,16.9,0.2539,11.5,12.23,20.56,1.21,4.56,0.0222222222222222,0.0245166182231771
"16-122D","FMR1KO","yoked-conflict","Retention",3.08,0.4633,23,26.53,1.06,7.44,0.98,43,60,87.3,3.02,8.17,81.301,0.2032,0.2786,0.2542,0.264,0.05,240.39,177.38,106.94,0.0162,10,240,80,0.0394,80,50,240,0.0664,7.5,0.2514,13.1,11.92,23.45,1.28,4.2,0.0399547681869582,0.0345933562428408
"16-123D","FMR1KO","yoked-conflict","Retention",1.98,0.371,12,16.63,0.37,9.44,0.79,36,112,34.63,0.69,8.34,75.467,0.1511,0.2039,0.2952,0.3497,0.09,200.68,173.08,101.99,0.0169,30,250,100,0.0422,220,130,300,0.0599,7.5,0.316,14.5,12.26,22.55,1.46,4.44,0.0222489476849068,0.0199249205890846
"16-124D","FMR1KO","yoked-conflict","Retention",2.16,0.2973,18,0.53,0,-1,1.1,56,62,11.87,0.14,10.07,104.637,0.2239,0.2284,0.1931,0.3545,0.14,341.91,197.14,99.67,0.0125,160,60,280,0.042,60,310,120,0.0312,7.5,0.382,14.5,12.93,17.89,2.12,7.93,0,0.0117944397641112
"16-357D","FMR1KO","yoked-conflict","Retention",1.67,0.3095,21,13.47,0.19,0.7,1.53,49,62,24.17,0.38,1.67,88.566,0.179,0.2043,0.2648,0.3519,0.02,271.11,182.99,103.21,0.0145,0,230,60,0.0395,230,180,0,0.0225,15.8,0.3133,14.5,11.27,26.15,0.89,2.78,0.014105419450631,0.0157219693835333
"16-116A","WT","consistent","Retention",2.42,0.3432,11,197.6,4.55,0.43,0.66,22,197,249.1,6.19,1.47,47.432,0.1263,0.1234,0.4266,0.3237,0.42,215.46,225.12,97.17,0.0085,20,250,170,0.0797,220,150,260,0.0104,7.5,0.3437,14.5,13.83,15.58,2.71,13.99,0.0230263157894737,0.0248494580489763
"16-117A","WT","consistent","Retention",1.98,0.3835,5,214.27,4.84,6.37,0.35,13,222,234.57,5.19,2.49,24.934,0.0677,0.1789,0.4729,0.2804,0.43,193.36,235.76,82.86,0.005,340,250,170,0.0747,220,150,260,0.0087,15.8,0.2651,11.5,11.3,20.37,1.1,3.86,0.0225883231436972,0.0221255915078655
"16-118A","WT","consistent","Retention",1.83,0.3256,16,29.47,0.75,7.91,1.18,41,99,128.9,2.76,11.67,78.937,0.2006,0.261,0.2654,0.2729,0.09,197.43,188.01,105.16,0.0141,20,210,60,0.0431,210,120,300,7e-04,15.8,0.2822,11.5,10.65,22.52,1.14,3.6,0.0254496097726502,0.0214119472459271
"16-118B","WT","consistent","Retention",2.4,0.3579,1,478.47,11.19,4.53,0.07,1,478,599.97,14.64,-1,1.866,0.0045,0.0872,0.7724,0.1358,0.75,185.22,259.91,47.57,0,0,210,170,0.1003,190,150,220,0.0073,7.5,0.3855,14.5,14.33,12.61,2.72,13.61,0.0233870462097937,0.0244012200610031
"16-119A","WT","consistent","Retention",1.68,0.3323,1,442.87,8.59,2.42,0.08,1,442,599.97,11.99,-1,1.867,0.0046,0.46,0.5234,0.012,0.73,141.56,231.49,45.18,0,260,150,100,0.088,130,90,170,0.0259,3.1,0.3414,14.5,13.14,17.47,1.62,6.03,0.0193962110777429,0.0199843325499608
"16-120A","WT","consistent","Retention",2.35,0.3859,6,244.53,5.27,10.26,0.39,12,244,378.83,8.33,5.17,31.398,0.08,0.103,0.3989,0.418,0.58,223.33,248.39,84.17,5e-04,40,250,200,0.0948,240,190,270,6e-04,16.9,0.4011,14.5,13.31,16.52,2.11,8.46,0.0215515478673373,0.0219887548504606
"16-120B","WT","consistent","Retention",1.76,0.2747,20,25.93,0.4,1.86,1.4,74,70,83.07,1.37,1.41,158.632,0.3941,0.3031,0.1638,0.139,0.3,40.15,161.63,86.64,0.0113,280,80,340,0.0551,40,320,90,0.0139,3.1,0.4002,14.5,13.32,15.65,1.8,6.81,0.0154261473197069,0.0164921150836644
"16-121B","WT","consistent","Retention",1.89,0.3688,9,411.97,8.29,2.14,0.67,21,411,468.3,9.66,5.3,42.401,0.1127,0.2554,0.4678,0.1642,0.37,164.62,221.01,82.16,0.0068,290,210,130,0.0594,140,120,230,0.0415,3.1,0.2987,13.1,12.06,19.32,1.23,4.47,0.0201228244775105,0.020627802690583
"16-116B","WT","yoked-consistent","Retention",2.47,0.3955,24,13.13,0.28,3.17,1.45,84,55,20.8,0.48,1.59,161.47,0.3984,0.1681,0.2193,0.2142,0.2,5.52,161.06,97.46,0.0099,100,50,300,0.0588,10,300,80,0.0567,3.1,0.357,14.5,12.48,21.52,1.44,4.56,0.0213252094440213,0.0230769230769231
"16-117B","WT","yoked-consistent","Retention",2.44,0.3902,22,19.43,0.32,2.58,1.24,52,72,72.03,1.2,1.71,104.463,0.2757,0.3849,0.1921,0.1473,0.25,81.46,178.67,87.56,0.0085,290,140,30,0.0473,80,10,150,0.0072,15.8,0.2282,13.1,10.6,24.26,0.76,2.49,0.0164693772516727,0.0166597251145356
"16-119B","WT","yoked-consistent","Retention",2.7,0.4445,18,4.63,0.27,8,0.93,45,85,42.9,1.76,1.56,89.866,0.2329,0.3224,0.1929,0.2518,0.09,72.35,179.5,99.63,0.0127,180,120,340,0.0441,50,10,180,0.0327,15.8,0.3301,13.1,11.41,24.16,1.33,4.02,0.0583153347732181,0.041025641025641
"16-121A","WT","yoked-consistent","Retention",2.55,0.3908,22,12.77,0.27,8.7,1.21,65,110,55.33,1.38,10.74,133.801,0.3268,0.2185,0.2373,0.2174,0.07,6.26,169.85,101.3,0.015,270,140,340,0.0411,30,270,90,0.0078,15.8,0.3629,13.1,11.1,22.27,1.19,3.4,0.0211433046202036,0.0249412615217784
"16-116C","WT","conflict","Retention",1.94,0.297,6,83.9,1.46,1.53,0.45,15,363,446.93,9.12,1.73,25.601,0.049,0.1369,0.3478,0.4663,0.34,218.41,156.72,85.29,0.0052,350,270,170,0.0616,210,190,320,0.0188,16.9,0.3514,14.5,13.96,17.66,2.45,10.49,0.0174016686531585,0.0204058801154543
"16-117C","WT","conflict","Retention",2.87,0.4152,28,6.73,0.09,11.27,1.49,75,59,23.07,0.52,6.37,142.264,0.3175,0.2323,0.1404,0.3099,0.31,349.95,215.25,89.14,0.0056,140,60,310,0.051,340,270,50,0.0247,7.5,0.3477,14.5,13.1,19.8,1.97,6.9,0.0133729569093611,0.0225400953619419
"16-117D","WT","conflict","Retention",1.78,0.3451,12,40.57,0.63,1.71,0.86,30,153,128.67,2.11,1.83,57.736,0.1112,0.3754,0.2716,0.2419,0.26,109.01,174.78,121.6,0.0083,280,170,60,0.0616,90,20,150,0.0552,15.8,0.3379,14.5,12.2,21.21,1.43,4.68,0.0155287157998521,0.016398538897956
"16-118C","WT","conflict","Retention",2.06,0.3127,3,131.73,2.57,1.29,0.21,4,266,398.13,9.03,6.07,5.999,0.0109,0.1534,0.5078,0.3279,0.47,180.25,119.67,72.21,3e-04,0,200,120,0.0679,160,110,220,0.0194,3.1,0.3883,14.5,13.19,14.37,2.55,11.57,0.0195096029757838,0.0226810338331701
"16-119C","WT","conflict","Retention",2.14,0.3818,7,314.17,7.05,5.61,0.46,12,314,420.13,10.21,6.6,22.398,0.0394,0.0919,0.4112,0.4575,0.52,206.6,131.3,68.38,0.0044,0,260,200,0.0727,250,180,270,0.0338,3.1,0.294,14.5,12.62,18.98,1.61,5.98,0.0224400802113505,0.0243020017613596
"16-119D","WT","conflict","Retention",2.19,0.4037,2,547.87,12.77,1.53,0.13,2,547,563.87,13.33,1.65,3.067,0.0055,0.0269,0.4288,0.5388,0.68,212.19,124.59,50.8,1e-04,90,240,190,0.1071,230,180,260,9e-04,16.9,0.349,14.5,14.01,16.28,2.56,10.52,0.0233084490846369,0.0236402007554933
"16-120C","WT","conflict","Retention",2.94,0.4695,15,31.97,1.03,3,0.73,35,104,90.83,2.89,2.21,76.767,0.1493,0.2716,0.2434,0.3356,0.05,116.97,180.94,109.2,0.01,0,230,70,0.0474,100,0,180,0.0045,15.8,0.23,13.1,10.22,27.36,0.69,2.32,0.0322177040975915,0.031817681382803
"16-121C","WT","conflict","Retention",1.6,0.1818,4,104.27,1.73,1.53,0.34,13,272,195.43,3.51,1.91,23.632,0.0423,0.2114,0.5562,0.1901,0.54,158.2,124.85,84.35,0.003,300,220,150,0.0647,210,130,230,0.0173,3.1,0.3723,13.1,12.99,16.01,2,7.71,0.0165915411911384,0.0179603950263521
"16-121D","WT","conflict","Retention",2.43,0.4146,13,100.13,2.1,3.99,0.8,33,142,111.97,2.3,5.84,60.065,0.1215,0.0632,0.1376,0.6777,0.57,279.98,184.03,65.07,0.0017,50,300,260,0.1062,290,250,320,0.0246,7.5,0.3174,14.5,12.94,17.55,1.89,7.27,0.0209727354439229,0.0205412163972493
"16-116D","WT","yoked-conflict","Retention",2.22,0.4268,20,0.53,0,-1,1.17,46,78,50.47,0.99,1.75,84.732,0.1643,0.1787,0.3283,0.3287,0.1,210.71,169.98,99.9,0.0144,0,340,190,0.0438,230,100,270,0.0119,15.8,0.2305,7.5,9.42,27,0.33,2.12,0,0.0196156132355855
"16-118D","WT","yoked-conflict","Retention",2.47,0.4521,23,11.43,0.15,1.86,1.24,57,53,40.93,0.51,1.53,111.666,0.2316,0.247,0.265,0.2563,0.11,33.44,195.5,105.37,0.0143,130,70,290,0.0479,70,280,90,0.0025,15.8,0.2315,11.5,9.67,26.65,0.65,2.17,0.0131233595800525,0.0124602980698754
"16-120D","WT","yoked-conflict","Retention",1.41,0.1828,18,20.3,0.78,1.33,1.47,69,103,27.23,0.97,2.26,130.934,0.2702,0.2313,0.2703,0.2281,0.15,36.51,188.35,108.08,0.0157,200,90,320,0.0427,10,290,100,0.0065,7.5,0.3865,13.1,13.31,12.64,2.01,12.25,0.038423645320197,0.0356224752111642
